pokemon_1,pokemon_2,type_eff_1_to_2,type_eff_2_to_1,stat_sum_1,stat_sum_2,score_1,score_2,winner
gengar,greninja,0.5,2.0,500,530,250.0,1060.0,greninja
charmander,anorith,0.5,1.0,309,355,154.5,355.0,anorith
karrablast,bisharp,0.5,1.0,315,490,157.5,490.0,bisharp
vespiquen,litleo,0.5,2.0,474,369,237.0,738.0,litleo
wartortle,venomoth,1.0,1.0,405,450,405.0,450.0,venomoth
girafarig,aron,0.125,1.0,455,330,56.875,330.0,aron
mienshao,sylveon,1.0,2.0,510,525,510.0,1050.0,sylveon
swampert,salamence,0.0,1.0,535,600,0.0,600.0,salamence
electrike,gogoat,0.5,1.0,295,531,147.5,531.0,gogoat
zubat,heatmor,1.0,1.0,245,484,245.0,484.0,heatmor
wobbuffet,hippowdon,1.0,1.0,405,525,405.0,525.0,hippowdon
gligar,sigilyph,0.0,1.0,430,490,0.0,490.0,sigilyph
dodrio,latias,1.0,1.0,460,600,460.0,600.0,latias
azumarill,tranquill,1.0,1.0,420,358,420.0,358.0,azumarill
masquerain,lilligant,4.0,0.25,414,480,1656.0,120.0,masquerain
caterpie,bellossom,2.0,0.5,195,490,390.0,245.0,caterpie
zorua,pyroar,1.0,1.0,330,507,330.0,507.0,pyroar
ursaring,slaking,1.0,1.0,500,670,500.0,670.0,slaking
gigalith,braviary,2.0,0.25,515,510,1030.0,127.5,gigalith
weavile,goomy,2.0,1.0,510,300,1020.0,300.0,weavile
pidgeot,pikachu,0.5,2.0,479,320,239.5,640.0,pikachu
banette,vanilluxe,0.0,0.0,455,535,0.0,0.0,vanilluxe
pidgeotto,doublade,0.0,0.0,349,448,0.0,0.0,doublade
combusken,magnezone,4.0,0.5,405,535,1620.0,267.5,combusken
masquerain,floette,0.5,1.0,414,371,207.0,371.0,floette
granbull,illumise,1.0,0.5,450,400,450.0,200.0,granbull
crobat,torterra,2.0,0.0,535,525,1070.0,0.0,crobat
metapod,vanilluxe,1.0,1.0,205,535,205.0,535.0,vanilluxe
sceptile,medicham,1.0,2.0,530,410,530.0,820.0,medicham
shinx,axew,0.5,1.0,263,320,131.5,320.0,axew
spearow,clauncher,1.0,1.0,262,330,262.0,330.0,clauncher
yanma,dunsparce,1.0,1.0,390,415,390.0,415.0,dunsparce
charmeleon,snorunt,2.0,0.5,405,300,810.0,150.0,charmeleon
porygon2,toxicroak,1.0,4.0,515,490,515.0,1960.0,toxicroak
milotic,eelektrik,1.0,2.0,540,405,540.0,810.0,eelektrik
graveler,spheal,2.0,8.0,390,290,780.0,2320.0,spheal
sandshrew,cloyster,1.0,4.0,300,525,300.0,2100.0,cloyster
sealeo,cherrim,1.0,2.0,410,450,410.0,900.0,cherrim
raikou,glameow,1.0,1.0,580,310,580.0,310.0,raikou
ekans,pangoro,1.0,1.0,288,495,288.0,495.0,pangoro
entei,spoink,1.0,1.0,580,330,580.0,330.0,entei
trapinch,woobat,0.0,1.0,290,313,0.0,313.0,woobat
alakazam,probopass,0.125,1.0,500,525,62.5,525.0,probopass
kadabra,durant,0.25,2.0,400,484,100.0,968.0,durant
rhyhorn,flareon,4.0,0.25,345,525,1380.0,131.25,rhyhorn
cloyster,sylveon,1.0,1.0,525,525,525.0,525.0,sylveon
tepig,lilligant,2.0,0.5,308,480,616.0,240.0,tepig
growlithe,druddigon,0.5,1.0,350,485,175.0,485.0,druddigon
butterfree,pidgeot,0.5,2.0,395,479,197.5,958.0,pidgeot
spinarak,blaziken,0.25,0.5,250,530,62.5,265.0,blaziken
krokorok,kyurem,1.0,2.0,351,660,351.0,1320.0,kyurem
drowzee,cresselia,0.5,0.5,328,600,164.0,300.0,cresselia
cobalion,binacle,2.0,0.25,580,306,1160.0,76.5,cobalion
plusle,pyroar,1.0,1.0,405,507,405.0,507.0,pyroar
quagsire,rufflet,0.0,1.0,430,350,0.0,350.0,rufflet
wigglytuff,torterra,1.0,1.0,435,525,435.0,525.0,torterra
nincada,carvanha,2.0,2.0,266,305,532.0,610.0,carvanha
gloom,mantyke,1.0,1.0,395,345,395.0,345.0,gloom
chandelure,diggersby,0.0,0.0,520,423,0.0,0.0,diggersby
butterfree,hippopotas,1.0,0.0,395,330,395.0,0.0,butterfree
bunnelby,inkay,1.0,1.0,237,288,237.0,288.0,inkay
breloom,slakoth,4.0,1.0,460,280,1840.0,280.0,breloom
blastoise,gardevoir,1.0,1.0,530,518,530.0,518.0,blastoise
tyrogue,gothorita,1.0,2.0,210,390,210.0,780.0,gothorita
anorith,prinplup,1.0,1.0,355,405,355.0,405.0,prinplup
pachirisu,dragalge,0.5,1.0,405,494,202.5,494.0,dragalge
bellossom,maractus,0.5,0.5,490,461,245.0,230.5,bellossom
meowth,pansear,1.0,1.0,290,316,290.0,316.0,pansear
bulbasaur,togepi,2.0,0.5,318,245,636.0,122.5,bulbasaur
vibrava,yamask,1.0,1.0,340,303,340.0,303.0,vibrava
happiny,sandile,1.0,1.0,220,292,220.0,292.0,sandile
cryogonal,mienshao,1.0,4.0,485,510,485.0,2040.0,mienshao
skitty,seismitoad,1.0,1.0,260,509,260.0,509.0,seismitoad
ursaring,delibird,1.0,1.0,500,330,500.0,330.0,ursaring
kricketune,gothitelle,2.0,1.0,384,490,768.0,490.0,kricketune
audino,foongus,1.0,1.0,445,294,445.0,294.0,audino
pidgeot,phantump,0.0,0.0,479,309,0.0,0.0,phantump
sharpedo,hydreigon,0.25,0.5,460,600,115.0,300.0,hydreigon
charmander,roselia,2.0,0.5,309,400,618.0,200.0,charmander
electabuzz,exploud,1.0,1.0,490,490,490.0,490.0,exploud
pidgey,swellow,1.0,1.0,251,430,251.0,430.0,swellow
herdier,seismitoad,1.0,1.0,370,509,370.0,509.0,seismitoad
dustox,swanna,0.5,2.0,385,473,192.5,946.0,swanna
mewtwo,metang,0.125,0.5,680,420,85.0,210.0,metang
camerupt,drifblim,0.0,1.0,460,498,0.0,498.0,drifblim
dodrio,elekid,0.5,2.0,460,360,230.0,720.0,elekid
squirtle,golurk,0.0,0.0,314,483,0.0,0.0,golurk
onix,kyogre,1.0,2.0,385,670,385.0,1340.0,kyogre
ledyba,chimecho,2.0,1.0,265,425,530.0,425.0,ledyba
hypno,pangoro,0.0,2.0,483,495,0.0,990.0,pangoro
caterpie,vivillon,0.5,2.0,195,411,97.5,822.0,vivillon
altaria,mismagius,1.0,1.0,490,495,490.0,495.0,mismagius
crustle,zekrom,1.0,1.0,475,680,475.0,680.0,zekrom
swampert,lucario,2.0,0.5,535,525,1070.0,262.5,swampert
vileplume,nosepass,1.0,1.0,490,375,490.0,375.0,vileplume
duosion,clawitzer,1.0,1.0,370,500,370.0,500.0,clawitzer
clamperl,mamoswine,2.0,0.5,345,530,690.0,265.0,clamperl
chansey,octillery,1.0,1.0,450,480,450.0,480.0,octillery
snorlax,magnezone,0.25,1.0,540,535,135.0,535.0,magnezone
torchic,gigalith,0.25,2.0,310,515,77.5,1030.0,gigalith
shieldon,fletchinder,2.0,0.25,350,382,700.0,95.5,shieldon
surskit,scrafty,1.0,0.5,269,488,269.0,244.0,surskit
floatzel,shelmet,1.0,1.0,495,305,495.0,305.0,floatzel
gurdurr,krokorok,2.0,0.5,405,351,810.0,175.5,gurdurr
zangoose,skiddo,1.0,1.0,458,350,458.0,350.0,zangoose
shellder,budew,0.5,2.0,305,280,152.5,560.0,budew
yanma,fletchling,0.5,2.0,390,278,195.0,556.0,fletchling
walrein,cottonee,1.0,2.0,530,280,530.0,560.0,cottonee
minun,carvanha,2.0,1.0,405,305,810.0,305.0,minun
sentret,grovyle,1.0,1.0,215,405,215.0,405.0,grovyle
samurott,pansear,2.0,0.5,528,316,1056.0,158.0,samurott
squirtle,luxray,1.0,2.0,314,523,314.0,1046.0,luxray
venusaur,ekans,0.5,1.0,525,288,262.5,288.0,ekans
spoink,swoobat,0.5,0.5,330,425,165.0,212.5,swoobat
bellossom,ferrothorn,0.125,0.5,490,489,61.25,244.5,ferrothorn
marowak,shinx,2.0,0.0,425,263,850.0,0.0,marowak
celebi,archeops,1.0,2.0,600,567,600.0,1134.0,archeops
ninetales,ferrothorn,2.0,0.25,505,489,1010.0,122.25,ninetales
raikou,huntail,2.0,1.0,580,485,1160.0,485.0,raikou
zebstrika,gurdurr,1.0,2.0,497,405,497.0,810.0,gurdurr
darumaka,virizion,2.0,1.0,315,580,630.0,580.0,darumaka
yanma,beartic,1.0,2.0,390,485,390.0,970.0,beartic
shieldon,kyurem,4.0,0.25,350,660,1400.0,165.0,shieldon
cherrim,binacle,2.0,0.5,450,306,900.0,153.0,cherrim
starmie,combusken,4.0,0.25,520,405,2080.0,101.25,starmie
rhyhorn,beautifly,0.0,0.5,345,395,0.0,197.5,beautifly
chandelure,mienfoo,0.0,0.0,520,350,0.0,0.0,mienfoo
seaking,lickilicky,1.0,1.0,450,515,450.0,515.0,lickilicky
qwilfish,sableye,0.5,1.0,430,380,215.0,380.0,sableye
prinplup,tympole,0.5,0.5,405,294,202.5,147.0,prinplup
drifblim,conkeldurr,0.0,0.0,498,505,0.0,0.0,conkeldurr
slowbro,nuzleaf,0.0,4.0,490,340,0.0,1360.0,nuzleaf
nidorina,bastiodon,0.0,1.0,365,495,0.0,495.0,bastiodon
hitmontop,marshtomp,1.0,1.0,455,405,455.0,405.0,hitmontop
goldeen,togetic,1.0,1.0,320,405,320.0,405.0,togetic
linoone,clawitzer,1.0,1.0,420,500,420.0,500.0,clawitzer
deerling,doublade,0.0,0.0,335,448,0.0,0.0,doublade
exploud,barbaracle,0.25,1.0,490,500,122.5,500.0,barbaracle
electivire,palpitoad,0.0,2.0,540,384,0.0,768.0,palpitoad
surskit,shinx,1.0,2.0,269,263,269.0,526.0,shinx
simipour,chandelure,0.0,0.0,498,520,0.0,0.0,chandelure
piloswine,stunky,2.0,0.5,450,329,900.0,164.5,piloswine
archen,gothita,1.0,0.5,401,290,401.0,145.0,archen
furret,greninja,1.0,1.0,415,530,415.0,530.0,greninja
shellder,scatterbug,1.0,1.0,305,200,305.0,200.0,shellder
wartortle,budew,0.5,2.0,405,280,202.5,560.0,budew
roselia,servine,1.0,0.5,400,413,400.0,206.5,roselia
abra,rufflet,1.0,1.0,310,350,310.0,350.0,rufflet
ekans,cresselia,1.0,2.0,288,600,288.0,1200.0,cresselia
scyther,chingling,2.0,1.0,500,285,1000.0,285.0,scyther
pidgeotto,ducklett,1.0,1.0,349,305,349.0,305.0,pidgeotto
doduo,combee,2.0,0.5,310,244,620.0,122.0,doduo
dragonite,floatzel,1.0,0.5,600,495,600.0,247.5,dragonite
jynx,lillipup,1.0,1.0,455,275,455.0,275.0,jynx
klang,eelektrik,0.5,0.5,440,405,220.0,202.5,klang
anorith,tropius,2.0,1.0,355,460,710.0,460.0,anorith
mesprit,beheeyem,0.5,0.5,580,485,290.0,242.5,mesprit
krabby,sawk,1.0,2.0,325,465,325.0,930.0,sawk
manectric,dragalge,0.5,1.0,475,494,237.5,494.0,dragalge
tirtouga,amaura,4.0,0.5,355,362,1420.0,181.0,tirtouga
finneon,simipour,0.5,0.5,330,498,165.0,249.0,simipour
arbok,torchic,1.0,1.0,438,310,438.0,310.0,arbok
igglybuff,mawile,0.25,2.0,210,380,52.5,760.0,mawile
larvitar,nuzleaf,0.5,4.0,300,340,150.0,1360.0,nuzleaf
rayquaza,zoroark,1.0,1.0,680,510,680.0,510.0,rayquaza
shinx,greninja,2.0,1.0,263,530,526.0,530.0,greninja
golbat,bronzor,0.0,2.0,455,300,0.0,600.0,bronzor
linoone,axew,1.0,1.0,420,320,420.0,320.0,linoone
arcanine,mothim,2.0,0.5,555,424,1110.0,212.0,arcanine
dusclops,klefki,0.5,1.0,455,470,227.5,470.0,klefki
luvdisc,excadrill,1.0,0.5,330,508,330.0,254.0,luvdisc
kyogre,dialga,0.25,0.5,670,680,167.5,340.0,dialga
lumineon,audino,1.0,1.0,460,445,460.0,445.0,lumineon
chikorita,durant,0.125,2.0,318,484,39.75,968.0,durant
haxorus,dedenne,0.0,1.0,540,431,0.0,431.0,dedenne
ariados,ursaring,1.0,1.0,390,500,390.0,500.0,ursaring
roselia,eelektrik,1.0,0.5,400,405,400.0,202.5,roselia
buizel,delphox,2.0,0.5,330,534,660.0,267.0,buizel
pachirisu,deerling,0.5,1.0,405,335,202.5,335.0,deerling
toxicroak,abomasnow,4.0,1.0,490,494,1960.0,494.0,toxicroak
glaceon,scrafty,1.0,4.0,525,488,525.0,1952.0,scrafty
wigglytuff,braixen,0.5,1.0,435,409,217.5,409.0,braixen
vanillish,accelgor,1.0,1.0,395,495,395.0,495.0,accelgor
weedle,masquerain,0.5,1.0,195,414,97.5,414.0,masquerain
skiploom,metagross,0.25,1.0,340,600,85.0,600.0,metagross
slowking,whirlipede,2.0,2.0,490,360,980.0,720.0,slowking
muk,flaaffy,1.0,1.0,500,365,500.0,365.0,muk
stantler,binacle,0.25,1.0,465,306,116.25,306.0,binacle
dunsparce,serperior,1.0,1.0,415,528,415.0,528.0,serperior
omanyte,salamence,1.0,0.5,355,600,355.0,300.0,omanyte
emolga,avalugg,1.0,2.0,428,514,428.0,1028.0,avalugg
axew,fletchling,1.0,1.0,320,278,320.0,278.0,axew
victini,binacle,0.25,4.0,600,306,150.0,1224.0,binacle
whiscash,servine,0.25,4.0,468,413,117.0,1652.0,servine
seedot,carvanha,2.0,0.5,220,305,440.0,152.5,seedot
camerupt,mesprit,1.0,1.0,460,580,460.0,580.0,mesprit
whismur,simisage,1.0,1.0,240,498,240.0,498.0,simisage
wigglytuff,vigoroth,1.0,1.0,435,440,435.0,440.0,vigoroth
ledian,mamoswine,1.0,0.0,390,530,390.0,0.0,ledian
shellder,latios,0.5,1.0,305,600,152.5,600.0,latios
tentacruel,zoroark,1.0,1.0,515,510,515.0,510.0,tentacruel
vibrava,florges,0.0,2.0,340,552,0.0,1104.0,florges
camerupt,feebas,0.5,4.0,460,200,230.0,800.0,feebas
whismur,tynamo,1.0,1.0,240,275,240.0,275.0,tynamo
croconaw,swadloon,0.5,2.0,405,380,202.5,760.0,swadloon
lombre,latias,0.25,1.0,340,600,85.0,600.0,latias
pineco,makuhita,0.5,1.0,290,237,145.0,237.0,makuhita
wartortle,emboar,2.0,1.0,405,528,810.0,528.0,wartortle
graveler,electabuzz,2.0,0.0,390,490,780.0,0.0,graveler
exeggcute,clamperl,2.0,0.5,325,345,650.0,172.5,exeggcute
sliggoo,xerneas,0.0,2.0,452,680,0.0,1360.0,xerneas
grovyle,gothita,1.0,1.0,405,290,405.0,290.0,grovyle
kangaskhan,marshtomp,1.0,1.0,490,405,490.0,405.0,kangaskhan
glameow,swanna,1.0,1.0,310,473,310.0,473.0,swanna
baltoy,reshiram,2.0,1.0,300,680,600.0,680.0,reshiram
chinchou,bouffalant,1.0,1.0,330,490,330.0,490.0,bouffalant
xatu,barboach,1.0,0.0,470,288,470.0,0.0,xatu
stunfisk,deino,0.5,1.0,471,300,235.5,300.0,deino
cloyster,hoppip,2.0,2.0,525,250,1050.0,500.0,cloyster
tyranitar,sylveon,0.5,1.0,600,525,300.0,525.0,sylveon
sandslash,metang,1.0,1.0,450,420,450.0,420.0,sandslash
phanpy,amoonguss,1.0,1.0,330,464,330.0,464.0,amoonguss
clefable,remoraid,1.0,1.0,483,300,483.0,300.0,clefable
misdreavus,archen,0.5,1.0,435,401,217.5,401.0,archen
boldore,drilbur,0.5,1.0,390,328,195.0,328.0,drilbur
armaldo,klink,0.25,1.0,495,300,123.75,300.0,klink
growlithe,golem,0.25,4.0,350,495,87.5,1980.0,golem
trapinch,seviper,2.0,0.5,290,458,580.0,229.0,trapinch
dunsparce,starly,1.0,1.0,415,245,415.0,245.0,dunsparce
wartortle,froslass,0.0,0.0,405,480,0.0,0.0,froslass
cherubi,archen,0.5,2.0,275,401,137.5,802.0,archen
crobat,linoone,1.0,1.0,535,420,535.0,420.0,crobat
hoothoot,linoone,1.0,1.0,262,420,262.0,420.0,linoone
cranidos,dialga,0.25,2.0,350,680,87.5,1360.0,dialga
politoed,lucario,0.5,1.0,500,525,250.0,525.0,lucario
happiny,conkeldurr,1.0,4.0,220,505,220.0,2020.0,conkeldurr
shiftry,audino,1.0,1.0,480,445,480.0,445.0,shiftry
chespin,klefki,0.25,1.0,313,470,78.25,470.0,klefki
girafarig,foongus,2.0,1.0,455,294,910.0,294.0,girafarig
scyther,staraptor,0.5,2.0,500,485,250.0,970.0,staraptor
mightyena,clauncher,1.0,1.0,420,330,420.0,330.0,mightyena
voltorb,jumpluff,1.0,0.5,330,460,330.0,230.0,voltorb
machoke,swanna,0.5,2.0,405,473,202.5,946.0,swanna
kakuna,shinx,1.0,1.0,205,263,205.0,263.0,shinx
shieldon,cofagrigus,1.0,0.25,350,483,350.0,120.75,shieldon
gloom,bagon,0.5,1.0,395,300,197.5,300.0,bagon
wooper,marshtomp,1.0,1.0,210,405,210.0,405.0,marshtomp
sentret,lanturn,1.0,1.0,215,460,215.0,460.0,lanturn
sentret,golurk,0.0,0.0,215,483,0.0,0.0,golurk
bidoof,scraggy,1.0,4.0,250,348,250.0,1392.0,scraggy
vaporeon,reshiram,1.0,0.5,525,680,525.0,340.0,vaporeon
starly,gible,1.0,0.0,245,300,245.0,0.0,starly
rhyperior,cofagrigus,1.0,0.5,535,483,535.0,241.5,rhyperior
scraggy,zorua,2.0,0.25,348,330,696.0,82.5,scraggy
fearow,voltorb,0.5,2.0,442,330,221.0,660.0,voltorb
poochyena,surskit,1.0,2.0,220,269,220.0,538.0,surskit
makuhita,lampent,0.0,0.0,237,370,0.0,0.0,lampent
dragonite,larvitar,0.5,0.0,600,300,300.0,0.0,dragonite
snover,darkrai,1.0,1.0,334,600,334.0,600.0,darkrai
whismur,swalot,1.0,1.0,240,467,240.0,467.0,swalot
charmander,rhyhorn,0.25,4.0,309,345,77.25,1380.0,rhyhorn
shellder,shiftry,0.5,2.0,305,480,152.5,960.0,shiftry
lileep,pawniard,0.25,2.0,355,340,88.75,680.0,pawniard
omastar,latios,0.5,1.0,495,600,247.5,600.0,latios
spearow,blissey,1.0,1.0,262,540,262.0,540.0,blissey
seviper,pyroar,1.0,1.0,458,507,458.0,507.0,pyroar
teddiursa,emboar,1.0,4.0,330,528,330.0,2112.0,emboar
swablu,groudon,1.0,0.0,310,670,310.0,0.0,swablu
raichu,stunfisk,0.0,1.0,485,471,0.0,471.0,stunfisk
phanpy,vanillish,1.0,2.0,330,395,330.0,790.0,vanillish
flaaffy,victini,1.0,1.0,365,600,365.0,600.0,victini
buneary,emolga,1.0,1.0,350,428,350.0,428.0,emolga
wobbuffet,roselia,2.0,1.0,405,400,810.0,400.0,wobbuffet
corsola,absol,1.0,0.5,380,465,380.0,232.5,corsola
paras,tynamo,1.0,0.5,285,275,285.0,137.5,paras
sealeo,metagross,0.5,1.0,410,600,205.0,600.0,metagross
mewtwo,fletchling,1.0,1.0,680,278,680.0,278.0,mewtwo
articuno,luxray,0.5,2.0,580,523,290.0,1046.0,luxray
omanyte,corsola,1.0,1.0,355,380,355.0,380.0,corsola
slowbro,latias,0.25,0.5,490,600,122.5,300.0,latias
sentret,lampent,0.0,0.0,215,370,0.0,0.0,lampent
regirock,tepig,2.0,0.25,580,308,1160.0,77.0,regirock
bellsprout,frogadier,2.0,0.5,300,405,600.0,202.5,bellsprout
hippowdon,archeops,0.0,0.5,525,567,0.0,283.5,archeops
ho-oh,shuppet,1.0,1.0,680,295,680.0,295.0,ho-oh
crobat,terrakion,0.5,0.5,535,580,267.5,290.0,terrakion
tangrowth,frogadier,2.0,0.5,535,405,1070.0,202.5,tangrowth
bulbasaur,tranquill,0.5,2.0,318,358,159.0,716.0,tranquill
espeon,abomasnow,1.0,1.0,525,494,525.0,494.0,espeon
ledian,dedenne,0.25,2.0,390,431,97.5,862.0,dedenne
illumise,zangoose,1.0,1.0,400,458,400.0,458.0,zangoose
alakazam,noibat,1.0,1.0,500,245,500.0,245.0,alakazam
wailord,skrelp,0.5,0.5,500,320,250.0,160.0,wailord
venusaur,dedenne,2.0,0.25,525,431,1050.0,107.75,venusaur
whiscash,jirachi,2.0,0.5,468,600,936.0,300.0,whiscash
onix,jirachi,1.0,2.0,385,600,385.0,1200.0,jirachi
virizion,yveltal,0.5,2.0,580,680,290.0,1360.0,yveltal
hippopotas,vullaby,0.0,1.0,330,370,0.0,370.0,vullaby
girafarig,tyranitar,0.0,2.0,455,600,0.0,1200.0,tyranitar
forretress,beheeyem,2.0,0.25,465,485,930.0,121.25,forretress
krabby,swellow,1.0,1.0,325,430,325.0,430.0,swellow
aerodactyl,delibird,4.0,1.0,515,330,2060.0,330.0,aerodactyl
beautifly,snorunt,1.0,2.0,395,300,395.0,600.0,snorunt
grovyle,deerling,0.5,0.5,405,335,202.5,167.5,grovyle
slowpoke,castform,1.0,1.0,315,420,315.0,420.0,castform
abomasnow,shelmet,0.5,2.0,494,305,247.0,610.0,shelmet
beedrill,tranquill,0.5,2.0,395,358,197.5,716.0,tranquill
aipom,quilladin,1.0,1.0,360,405,360.0,405.0,quilladin
murkrow,nincada,2.0,0.0,405,266,810.0,0.0,murkrow
mantyke,palpitoad,1.0,0.0,345,384,345.0,0.0,mantyke
poliwrath,heliolisk,2.0,2.0,510,481,1020.0,962.0,poliwrath
electivire,pyroar,1.0,1.0,540,507,540.0,507.0,electivire
voltorb,lanturn,1.0,0.5,330,460,330.0,230.0,voltorb
musharna,dwebble,0.5,2.0,487,325,243.5,650.0,dwebble
aerodactyl,murkrow,2.0,0.5,515,405,1030.0,202.5,aerodactyl
dugtrio,durant,0.5,1.0,405,484,202.5,484.0,durant
drifblim,joltik,1.0,0.5,498,319,498.0,159.5,drifblim
medicham,dwebble,1.0,0.5,410,325,410.0,162.5,medicham
lugia,throh,4.0,0.25,680,465,2720.0,116.25,lugia
drapion,zoroark,0.5,0.5,500,510,250.0,255.0,zoroark
skuntank,finneon,1.0,1.0,479,330,479.0,330.0,skuntank
exploud,shuppet,0.0,0.0,490,295,0.0,0.0,shuppet
empoleon,bunnelby,1.0,0.25,530,237,530.0,59.25,empoleon
natu,slakoth,1.0,1.0,320,280,320.0,280.0,natu
hypno,shieldon,0.125,1.0,483,350,60.375,350.0,shieldon
regice,spritzee,1.0,1.0,580,341,580.0,341.0,regice
venonat,kecleon,1.0,1.0,305,440,305.0,440.0,kecleon
silcoon,sawsbuck,2.0,0.5,205,475,410.0,237.5,silcoon
cacturne,gothita,2.0,0.0,475,290,950.0,0.0,cacturne
genesect,trevenant,1.0,0.25,600,474,600.0,118.5,genesect
hoothoot,kyogre,1.0,1.0,262,670,262.0,670.0,kyogre
staryu,phanpy,2.0,1.0,340,330,680.0,330.0,staryu
riolu,ducklett,0.5,2.0,285,305,142.5,610.0,ducklett
celebi,pignite,1.0,1.0,600,418,600.0,418.0,celebi
manectric,burmy,1.0,1.0,475,224,475.0,224.0,manectric
caterpie,solosis,2.0,1.0,195,290,390.0,290.0,caterpie
wailord,goomy,0.5,1.0,500,300,250.0,300.0,goomy
karrablast,kyurem,1.0,1.0,315,660,315.0,660.0,kyurem
phanpy,swalot,2.0,0.5,330,467,660.0,233.5,phanpy
drifloon,rufflet,0.0,0.0,348,350,0.0,0.0,rufflet
hippopotas,zebstrika,2.0,0.0,330,497,660.0,0.0,hippopotas
growlithe,archen,0.25,2.0,350,401,87.5,802.0,archen
venonat,cacturne,8.0,0.5,305,475,2440.0,237.5,venonat
ursaring,huntail,1.0,1.0,500,485,500.0,485.0,ursaring
growlithe,solrock,0.25,2.0,350,440,87.5,880.0,solrock
porygon2,vanillish,1.0,1.0,515,395,515.0,395.0,porygon2
seviper,bonsly,0.25,1.0,458,290,114.5,290.0,bonsly
zoroark,dedenne,0.5,2.0,510,431,255.0,862.0,dedenne
dusclops,espurr,0.0,0.0,455,355,0.0,0.0,espurr
charmander,serperior,2.0,0.5,309,528,618.0,264.0,charmander
kadabra,phanpy,1.0,1.0,400,330,400.0,330.0,kadabra
baltoy,pansear,2.0,1.0,300,316,600.0,316.0,baltoy
clefairy,makuhita,2.0,1.0,323,237,646.0,237.0,clefairy
moltres,toxicroak,2.0,0.5,580,490,1160.0,245.0,moltres
gorebyss,beldum,0.5,0.5,485,300,242.5,150.0,gorebyss
machoke,banette,0.0,0.0,405,455,0.0,0.0,banette
vanilluxe,barbaracle,0.25,2.0,535,500,133.75,1000.0,barbaracle
poliwrath,emboar,2.0,0.5,510,528,1020.0,264.0,poliwrath
beldum,diancie,4.0,0.25,300,600,1200.0,150.0,beldum
ditto,glameow,1.0,1.0,288,310,288.0,310.0,glameow
pikachu,mew,1.0,1.0,320,600,320.0,600.0,mew
charmander,gallade,1.0,2.0,309,518,309.0,1036.0,gallade
umbreon,bibarel,1.0,1.0,525,410,525.0,410.0,umbreon
pidgeotto,yanmega,2.0,0.5,349,515,698.0,257.5,pidgeotto
ledian,xatu,1.0,2.0,390,470,390.0,940.0,xatu
oshawott,eelektrik,1.0,2.0,308,405,308.0,810.0,eelektrik
sableye,beheeyem,0.0,0.0,380,485,0.0,0.0,beheeyem
jigglypuff,espurr,1.0,1.0,270,355,270.0,355.0,espurr
magneton,hippopotas,0.0,2.0,465,330,0.0,660.0,hippopotas
croconaw,noibat,0.5,1.0,405,245,202.5,245.0,noibat
koffing,mightyena,1.0,1.0,340,420,340.0,420.0,mightyena
exeggutor,sylveon,1.0,1.0,520,525,520.0,525.0,sylveon
palkia,palpitoad,1.0,0.25,680,384,680.0,96.0,palkia
zangoose,lampent,0.0,0.0,458,370,0.0,0.0,lampent
jolteon,grovyle,0.5,1.0,525,405,262.5,405.0,grovyle
buneary,stunfisk,1.0,1.0,350,471,350.0,471.0,stunfisk
cloyster,girafarig,1.0,1.0,525,455,525.0,455.0,cloyster
torterra,klinklang,1.0,1.0,525,520,525.0,520.0,torterra
caterpie,diglett,1.0,0.5,195,265,195.0,132.5,caterpie
prinplup,seismitoad,1.0,0.5,405,509,405.0,254.5,prinplup
grumpig,sealeo,1.0,1.0,470,410,470.0,410.0,grumpig
dusclops,snivy,0.0,0.0,455,308,0.0,0.0,snivy
hoppip,litleo,0.5,2.0,250,369,125.0,738.0,litleo
girafarig,avalugg,1.0,1.0,455,514,455.0,514.0,avalugg
aipom,tepig,1.0,1.0,360,308,360.0,308.0,aipom
flareon,floatzel,0.5,2.0,525,495,262.5,990.0,floatzel
budew,trubbish,0.5,1.0,280,329,140.0,329.0,trubbish
claydol,pangoro,0.0,1.0,500,495,0.0,495.0,pangoro
shuckle,monferno,0.25,1.0,505,405,126.25,405.0,monferno
pikachu,skorupi,1.0,1.0,320,330,320.0,330.0,skorupi
pidgeot,vivillon,2.0,0.5,479,411,958.0,205.5,pidgeot
mankey,ferrothorn,1.0,1.0,305,489,305.0,489.0,ferrothorn
kingler,whirlipede,1.0,1.0,475,360,475.0,360.0,kingler
clefairy,rotom,0.0,0.0,323,440,0.0,0.0,rotom
kangaskhan,anorith,0.25,1.0,490,355,122.5,355.0,anorith
ninetales,zorua,1.0,1.0,505,330,505.0,330.0,ninetales
treecko,barboach,4.0,0.25,310,288,1240.0,72.0,treecko
carnivine,rotom,0.0,0.0,454,440,0.0,0.0,rotom
silcoon,metagross,0.5,1.0,205,600,102.5,600.0,metagross
tangela,ariados,0.5,4.0,435,390,217.5,1560.0,ariados
gardevoir,skuntank,0.0,2.0,518,479,0.0,958.0,skuntank
charizard,shuppet,1.0,1.0,534,295,534.0,295.0,charizard
tangela,moltres,0.25,4.0,435,580,108.75,2320.0,moltres
machamp,gliscor,0.5,2.0,505,510,252.5,1020.0,gliscor
alakazam,hoppip,1.0,1.0,500,250,500.0,250.0,alakazam
walrein,mantyke,0.5,0.5,530,345,265.0,172.5,walrein
tangela,gastrodon,4.0,0.25,435,475,1740.0,118.75,tangela
